Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
715,1778,0406106,040,City Manager,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"15,567,376.47",ACTUALS,,"2,015"
060,0331,9801001,980,Non Departmental,59010212,59,Transfers,TSF TO PPA BID/LATE PENALTY,"9,602.38",ACTUALS,,"2,015"
399,3001,3990502,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,"20,814.73",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"63,737.66",ACTUALS,,"2,015"
001,0001,1900202,190,City Clerk,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"3,061.87",ACTUALS,,"2,015"
001,0001,5800101,580,Development Services,51010013,51,Personnel Services,SICK LEAVE,"16,232.18",ACTUALS,,"2,015"
001,0001,4200621,420,Police,52890002,52,Professional Services,SHIPPING / FREIGHT,"10,036.16",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,"25,345.15",ACTUALS,,"2,015"
003,2137,3305410,330,Public Works,52044001,52,Professional Services,NON-CAPITAL LAND,17.00,ACTUALS,,"2,015"
001,0001,3300801,330,Public Works,52130001,52,Professional Services,MEMBERSHIPS,896.00,ACTUALS,,"2,015"
017,0503,4200841,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,146.65,ACTUALS,,"2,015"
019,6200,3309010,330,Public Works,51010022,51,Personnel Services,SALARY ADJUSTMENTS,"102,705.36",ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,52340013,52,Professional Services,NONTARGET REPAIR LABOR,"6,804.00",ACTUALS,,"2,015"
003,2117,3305003,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"254,017.24",ACTUALS,,"2,015"
399,3001,3990302,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"6,961.00",ACTUALS,,"2,015"
001,0001,0700601,070,Municipal Counselor,51130004,51,Personnel Services,CAR ALLOWANCE,563.37,ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"23,210.85",ACTUALS,,"2,015"
001,0003,1000301,100,Municipal Court,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"16,137.85",ACTUALS,,"2,015"
001,0001,0700401,070,Municipal Counselor,51070002,51,Personnel Services,HMO ADMIN,33.74,ACTUALS,,"2,015"
001,0001,2400206,240,Planning,51510004,51,Personnel Services,EMPLOYEE PARKING,965.71,ACTUALS,,"2,015"
066,5100,5200350,520,Public Transportation,51010001,51,Personnel Services,SALARIES AND WAGES,"54,793.44",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,54164010,54,Capital Purchase,EQUIPMENT,"22,255.56",ACTUALS,,"2,015"
001,0001,4200842,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,335.01,ACTUALS,,"2,015"
003,2157,3305501,330,Public Works,54010001,54,Capital Purchase,LAND,"90,740.81",ACTUALS,,"2,015"
003,2117,3305003,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"20,251.00",ACTUALS,,"2,015"
001,0001,0700301,070,Municipal Counselor,51130004,51,Personnel Services,CAR ALLOWANCE,352.12,ACTUALS,,"2,015"
019,6140,2408000,240,Planning,51010001,51,Personnel Services,SALARIES AND WAGES,"822,499.11",ACTUALS,,"2,015"
020,0100,4200733,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"128,331.30",ACTUALS,,"2,015"
001,0001,4200101,420,Police,51510004,51,Personnel Services,EMPLOYEE PARKING,140.58,ACTUALS,,"2,015"
001,0001,4200841,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,778.17,ACTUALS,,"2,015"
022,0121,4200625,420,Police,52070010,52,Professional Services,TELEPHONE,936.60,ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,52130001,52,Professional Services,MEMBERSHIPS,"1,056.30",ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51510004,51,Personnel Services,EMPLOYEE PARKING,266.75,ACTUALS,,"2,015"
399,3001,3990204,399,Utilities,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,173.42,ACTUALS,,"2,015"
001,0001,4200732,420,Police,53160008,53,Materials and Supplies,SAFETY EQUIPMENT & SUPPLIES,"1,582.40",ACTUALS,,"2,015"
001,0003,1000605,100,Municipal Court,51010001,51,Personnel Services,SALARIES AND WAGES,"2,783.23",ACTUALS,,"2,015"
511,0800,5112404,511,Airport,52049001,52,Professional Services,EMPLOYEE TRAINING,550.00,ACTUALS,,"2,015"
001,0001,4200731,420,Police,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,71.67,ACTUALS,,"2,015"
001,0001,0700601,070,Municipal Counselor,51010013,51,Personnel Services,SICK LEAVE,"19,575.52",ACTUALS,,"2,015"
399,3501,3990303,399,Utilities,53070009,53,Materials and Supplies,FOOD,206.11,ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"2,540.18",ACTUALS,,"2,015"
001,0001,5800110,580,Development Services,51510004,51,Personnel Services,EMPLOYEE PARKING,"1,931.42",ACTUALS,,"2,015"
003,2070,3305003,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"1,777,625.17",ACTUALS,,"2,015"
001,0001,2800101,280,Finance,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"14,821.08",ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,53890022,53,Materials and Supplies,OTHER SUPPLIES,"3,765.84",ACTUALS,,"2,015"
750,1642,5502032,550,Parks,54040004,54,Capital Purchase,TESTING,"7,284.75",ACTUALS,,"2,015"
001,0003,1000401,100,Municipal Court,51010007,51,Personnel Services,OVERTIME WAGES,0.19,ACTUALS,,"2,015"
030,0150,4500302,450,Fire,51010016,51,Personnel Services,VACATION,"22,242.04",ACTUALS,,"2,015"
399,3501,3990204,399,Utilities,52010058,52,Professional Services,ITC MICROSOFT LICENSING,293.50,ACTUALS,,"2,015"
370,0480,3990703,399,Utilities,52130001,52,Professional Services,MEMBERSHIPS,200.00,ACTUALS,,"2,015"
750,1667,3300302,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,1.66,ACTUALS,,"2,015"
001,0001,5500414,550,Parks,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"13,833.62",ACTUALS,,"2,015"
001,0001,3300514,330,Public Works,51510004,51,Personnel Services,EMPLOYEE PARKING,"2,124.57",ACTUALS,,"2,015"
001,0001,1000603,100,Municipal Court,53010001,53,Materials and Supplies,OFFICE SUPPLIES,377.38,ACTUALS,,"2,015"
020,0100,4200732,420,Police,52550700,52,Professional Services,TRAINING/EDUCATION,"10,000.00",ACTUALS,,"2,015"
001,0001,4200105,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"50,362.66",ACTUALS,,"2,015"
003,2097,3305009,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,263.69,ACTUALS,,"2,015"
003,2137,3305502,330,Public Works,52340019,52,Professional Services,BUILDING MAINTENANCE,"6,786.36",ACTUALS,,"2,015"
001,0001,5800201,580,Development Services,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,242.00,ACTUALS,,"2,015"
511,0800,5112301,511,Airport,51010016,51,Personnel Services,VACATION,"17,782.15",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"20,960.86",ACTUALS,,"2,015"
001,0001,1000301,100,Municipal Court,51010013,51,Personnel Services,SICK LEAVE,"1,376.29",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,52280022,52,Professional Services,CHARGEBACK FUEL,"18,665.83",ACTUALS,,"2,015"
399,3501,3990602,399,Utilities,53130013,53,Materials and Supplies,CHEMICALS,"8,757.81",ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"88,728.96",ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,53890004,53,Materials and Supplies,CLOTHING & OTHER,953.38,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,53890022,53,Materials and Supplies,OTHER SUPPLIES,"11,736.06",ACTUALS,,"2,015"
001,0001,3300101,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"9,166.19",ACTUALS,,"2,015"
070,0350,4200106,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,814.50,ACTUALS,,"2,015"
001,0001,4200623,420,Police,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"1,121,244.51",ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,"6,124.89",ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,52340034,52,Professional Services,OTHER REPAIRS AND MAINTENANCE,187.50,ACTUALS,,"2,015"
715,1778,0406106,040,City Manager,59010199,59,Transfers,TRANSFER TO SPECIAL PURPOSE,"43,889.00",ACTUALS,,"2,015"
001,0001,0700601,070,Municipal Counselor,51510004,51,Personnel Services,EMPLOYEE PARKING,"2,675.56",ACTUALS,,"2,015"
001,0001,1900202,190,City Clerk,51510004,51,Personnel Services,EMPLOYEE PARKING,"3,032.92",ACTUALS,,"2,015"
001,0001,3300301,330,Public Works,53040036,53,Materials and Supplies,ASPHALT ROAD MATERIALS,"589,788.15",ACTUALS,,"2,015"
020,0100,4200842,420,Police,51010016,51,Personnel Services,VACATION,968.20,ACTUALS,,"2,015"
399,3001,3990204,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"289,670.72",ACTUALS,,"2,015"
019,6660,2409504,240,Planning,52049001,52,Professional Services,EMPLOYEE TRAINING,366.00,ACTUALS,,"2,015"
020,0100,4200732,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"23,741.14",ACTUALS,,"2,015"
250,0460,2501401,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"26,219.66",ACTUALS,,"2,015"
001,0003,0700202,070,Municipal Counselor,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"2,245.90",ACTUALS,,"2,015"
001,0001,5800503,580,Development Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"20,402.19",ACTUALS,,"2,015"
350,0455,3500101,350,General Services,51010013,51,Personnel Services,SICK LEAVE,438.21,ACTUALS,,"2,015"
001,0001,0700703,070,Municipal Counselor,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"68,569.25",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,52310001,52,Professional Services,PRINTING & BINDING,"3,118.05",ACTUALS,,"2,015"
001,0001,2800101,280,Finance,53010001,53,Materials and Supplies,OFFICE SUPPLIES,917.40,ACTUALS,,"2,015"
001,0001,3300513,330,Public Works,51010007,51,Personnel Services,OVERTIME WAGES,13.75,ACTUALS,,"2,015"
285,0465,2800701,280,Finance,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"1,262.42",ACTUALS,,"2,015"
001,0001,4500301,450,Fire,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"12,689.63",ACTUALS,,"2,015"
020,0100,4200110,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"1,398.52",ACTUALS,,"2,015"
750,1659,5507100,550,Parks,54040004,54,Capital Purchase,TESTING,"10,815.75",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,51070003,51,Personnel Services,INDEMNITY ADMIN,105.71,ACTUALS,,"2,015"
003,2147,3305002,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"3,339,881.99",ACTUALS,,"2,015"
001,0001,5800202,580,Development Services,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"219,812.91",ACTUALS,,"2,015"
001,0001,1600110,160,Personnel,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,439.00,ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"20,552.95",ACTUALS,,"2,015"
066,5100,5200101,520,Public Transportation,52280004,52,Professional Services,CHARGEBACK-IT,"19,988.00",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,52130001,52,Professional Services,MEMBERSHIPS,"63,203.75",ACTUALS,,"2,015"
001,0001,3300513,330,Public Works,52280022,52,Professional Services,CHARGEBACK FUEL,"2,174.44",ACTUALS,,"2,015"
001,0001,4200624,420,Police,52400001,52,Professional Services,BUILDING RENTAL,"14,700.00",ACTUALS,,"2,015"
003,2107,3305002,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"20,404.85",ACTUALS,,"2,015"
020,0100,4200731,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"42,648.59",ACTUALS,,"2,015"
001,0001,2400206,240,Planning,52010001,52,Professional Services,MANAGEMENT CONTRACT,"23,353.97",ACTUALS,,"2,015"
399,3001,3990404,399,Utilities,53040014,53,Materials and Supplies,MAINTENANCE SUPPLIES,39.40,ACTUALS,,"2,015"
001,0001,1600201,160,Personnel,51010001,51,Personnel Services,SALARIES AND WAGES,"295,256.86",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,51070003,51,Personnel Services,INDEMNITY ADMIN,688.14,ACTUALS,,"2,015"
330,0075,3300110,330,Public Works,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP,"1,498.00",ACTUALS,,"2,015"
001,0001,0700602,070,Municipal Counselor,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"34,681.66",ACTUALS,,"2,015"
001,0001,0700101,070,Municipal Counselor,51070002,51,Personnel Services,HMO ADMIN,5.07,ACTUALS,,"2,015"
750,1642,5507000,550,Parks,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,"3,471.72",ACTUALS,,"2,015"
511,0800,5112101,511,Airport,51010016,51,Personnel Services,VACATION,"53,813.39",ACTUALS,,"2,015"
001,0001,0700602,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"22,400.81",ACTUALS,,"2,015"
330,0075,3300601,330,Public Works,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"17,376.37",ACTUALS,,"2,015"
001,0001,3100101,310,City Auditor,51010001,51,Personnel Services,SALARIES AND WAGES,"36,151.82",ACTUALS,,"2,015"
030,0150,4500101,450,Fire,51070002,51,Personnel Services,HMO ADMIN,2.89,ACTUALS,,"2,015"
001,0001,2800601,280,Finance,52010040,52,Professional Services,SECURITY SYSTEMS,"15,494.31",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,271.88,ACTUALS,,"2,015"
001,0001,4200621,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"939,510.98",ACTUALS,,"2,015"
511,0800,5112101,511,Airport,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,505.00,ACTUALS,,"2,015"
003,2157,3305101,330,Public Works,54010001,54,Capital Purchase,LAND,"9,426.10",ACTUALS,,"2,015"
700,1750,0400402,040,City Manager,51510004,51,Personnel Services,EMPLOYEE PARKING,"4,590.41",ACTUALS,,"2,015"
399,3501,3990203,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"70,787.94",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"97,756.04",ACTUALS,,"2,015"
399,3001,3990507,399,Utilities,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"47,574.73",ACTUALS,,"2,015"
001,0001,2400307,240,Planning,51070003,51,Personnel Services,INDEMNITY ADMIN,19.05,ACTUALS,,"2,015"
001,0001,0100201,010,Mayor and Council,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,"2,712.98",ACTUALS,,"2,015"
399,3001,3990504,399,Utilities,53890004,53,Materials and Supplies,CLOTHING & OTHER,"10,223.57",ACTUALS,,"2,015"
001,0001,4200625,420,Police,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"60,476.53",ACTUALS,,"2,015"
001,0001,5500110,550,Parks,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"19,304.06",ACTUALS,,"2,015"
001,0001,1600203,160,Personnel,51010016,51,Personnel Services,VACATION,"19,809.77",ACTUALS,,"2,015"
750,1671,5507100,550,Parks,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,250.86,ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"7,506.00",ACTUALS,,"2,015"
003,2107,3305708,330,Public Works,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"56,383.27",ACTUALS,,"2,015"
001,0001,0700201,070,Municipal Counselor,51070003,51,Personnel Services,INDEMNITY ADMIN,147.18,ACTUALS,,"2,015"
001,0001,4200621,420,Police,53040019,53,Materials and Supplies,NONTARGET REPAIR PARTS,"90,607.38",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"56,221.01",ACTUALS,,"2,015"
001,0001,1000110,100,Municipal Court,51010016,51,Personnel Services,VACATION,"8,854.56",ACTUALS,,"2,015"
019,6970,4509000,450,Fire,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-537.38,ACTUALS,,"2,015"
017,0502,0700202,070,Municipal Counselor,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,585.00",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"220,585.80",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,52070034,52,Professional Services,OTHER UTILITIES,"266,450.02",ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,"18,895.27",ACTUALS,,"2,015"
001,0001,5500207,550,Parks,51010007,51,Personnel Services,OVERTIME WAGES,"5,873.41",ACTUALS,,"2,015"
001,0001,0400302,040,City Manager,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"6,706.23",ACTUALS,,"2,015"
001,0001,4200101,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,485.55",ACTUALS,,"2,015"
021,0250,9804500,980,Non Departmental,55010046,55,Debt Service,BOND ISSUE COSTS,"1,106,213.76",ACTUALS,,"2,015"
020,0100,4200842,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"9,332.41",ACTUALS,,"2,015"
001,0001,0400110,040,City Manager,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,"16,461.00",ACTUALS,,"2,015"
001,0001,1000101,100,Municipal Court,51130004,51,Personnel Services,CAR ALLOWANCE,"3,017.85",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,71.00,ACTUALS,,"2,015"
001,0001,2800110,280,Finance,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"26,459.14",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"81,855.54",ACTUALS,,"2,015"
003,2107,3305001,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,34.06,ACTUALS,,"2,015"
001,0001,3300304,330,Public Works,51010016,51,Personnel Services,VACATION,"8,108.81",ACTUALS,,"2,015"
700,1750,0400402,040,City Manager,52130004,52,Professional Services,SUBSCRIPTIONS,130.00,ACTUALS,,"2,015"
003,2990,3305003,330,Public Works,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"99,165.04",ACTUALS,,"2,015"
701,1770,4503700,450,Fire,54165004,54,Capital Purchase,VEHICLES,"1,993,680.00",ACTUALS,,"2,015"
001,0001,4200109,420,Police,51010016,51,Personnel Services,VACATION,"16,931.19",ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,52280022,52,Professional Services,CHARGEBACK FUEL,"78,132.15",ACTUALS,,"2,015"
001,0001,0700402,070,Municipal Counselor,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,964.81,ACTUALS,,"2,015"
399,3501,3990602,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"5,183.08",ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"6,765.48",ACTUALS,,"2,015"
001,0001,0700703,070,Municipal Counselor,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"10,880.97",ACTUALS,,"2,015"
019,6200,3309040,330,Public Works,52044007,52,Professional Services,NON-CAPITAL CONSTRUCTION,"261,059.24",ACTUALS,,"2,015"
030,0150,4500201,450,Fire,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"39,673.53",ACTUALS,,"2,015"
001,0001,2400307,240,Planning,51510004,51,Personnel Services,EMPLOYEE PARKING,921.12,ACTUALS,,"2,015"
070,0350,4200101,420,Police,51130001,51,Personnel Services,UNIFORM ALLOWANCE,0.75,ACTUALS,,"2,015"
001,0001,4200110,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"67,163.59",ACTUALS,,"2,015"
399,3501,3990603,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"73,033.91",ACTUALS,,"2,015"
003,2147,3305501,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,174.60,ACTUALS,,"2,015"
019,6999,5809100,580,Development Services,52070004,52,Professional Services,"WATER, SEWER & REFUSE",84.27,ACTUALS,,"2,015"
330,0075,3300803,330,Public Works,52220016,52,Professional Services,EXPENDITURE REIMBURSEMENTS,150.00,ACTUALS,,"2,015"
001,0001,4200625,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"52,171.32",ACTUALS,,"2,015"
003,2147,3305001,330,Public Works,52044004,52,Professional Services,NON-CAPITAL TESTING,"12,830.97",ACTUALS,,"2,015"
001,0001,4200732,420,Police,52340013,52,Professional Services,NONTARGET REPAIR LABOR,"2,127.93",ACTUALS,,"2,015"
001,0001,1900201,190,City Clerk,51510007,51,Personnel Services,EMPLOYEE BUS PASS,110.34,ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,52130001,52,Professional Services,MEMBERSHIPS,32.00,ACTUALS,,"2,015"
399,3501,3990404,399,Utilities,52340001,52,Professional Services,OUTSOURCED REPAIRS,"1,112.91",ACTUALS,,"2,015"
399,3501,3990302,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,"1,705.11",ACTUALS,,"2,015"
001,0001,3500208,350,General Services,52070007,52,Professional Services,NATURAL GAS,"124,012.45",ACTUALS,,"2,015"
330,0075,3301111,330,Public Works,51070002,51,Personnel Services,HMO ADMIN,19.78,ACTUALS,,"2,015"
003,2097,3305003,330,Public Works,54130004,54,Capital Purchase,IMPROVEMENTS,"2,355.66",ACTUALS,,"2,015"
019,6140,2408020,240,Planning,51019999,51,Personnel Services,SALARY CONTRA ACCT-GRANTS,"48,294.68",ACTUALS,,"2,015"
001,0001,3300801,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"134,576.34",ACTUALS,,"2,015"
019,6999,2409902,240,Planning,52550840,52,Professional Services,HOMEOWNERS FUNDS,"16,631.74",ACTUALS,,"2,015"
370,0480,3990705,399,Utilities,53070004,53,Materials and Supplies,DRINKS,885.75,ACTUALS,,"2,015"
001,0001,3500208,350,General Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"103,132.06",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,51130007,51,Personnel Services,TOOL ALLOWANCE,105.00,ACTUALS,,"2,015"
001,0001,3500208,350,General Services,52340038,52,Professional Services,BUILDING MAINTENANCE-PARKS,"65,299.70",ACTUALS,,"2,015"
003,2060,3305302,330,Public Works,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,0.00,ACTUALS,,"2,015"
001,0001,1900201,190,City Clerk,52130001,52,Professional Services,MEMBERSHIPS,260.00,ACTUALS,,"2,015"
030,0150,4500101,450,Fire,51010001,51,Personnel Services,SALARIES AND WAGES,"90,907.94",ACTUALS,,"2,015"
511,0800,5112202,511,Airport,51010001,51,Personnel Services,SALARIES AND WAGES,"443,435.94",ACTUALS,,"2,015"
001,0001,4200732,420,Police,52010007,52,Professional Services,MAINTENANCE SERVICES CONTRACT,534.00,ACTUALS,,"2,015"
001,0001,4200621,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"11,010.51",ACTUALS,,"2,015"
001,0001,5500206,550,Parks,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"2,931.95",ACTUALS,,"2,015"
001,0001,2800221,280,Finance,51510004,51,Personnel Services,EMPLOYEE PARKING,27.42,ACTUALS,,"2,015"
003,2090,3305003,330,Public Works,54010001,54,Capital Purchase,LAND,23.00,ACTUALS,,"2,015"
715,1778,0406108,040,City Manager,54040058,54,Capital Purchase,CAPITALIZED OTHER,"5,114.00",ACTUALS,,"2,015"
001,0001,2800601,280,Finance,51010013,51,Personnel Services,SICK LEAVE,"8,157.61",ACTUALS,,"2,015"
399,3501,3990303,399,Utilities,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,996.67,ACTUALS,,"2,015"
399,3001,3990503,399,Utilities,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"62,989.20",ACTUALS,,"2,015"
055,0290,4203600,420,Police,54165004,54,Capital Purchase,VEHICLES,"1,227,796.46",ACTUALS,,"2,015"
001,0001,5500101,550,Parks,51010013,51,Personnel Services,SICK LEAVE,"10,957.91",ACTUALS,,"2,015"
511,0800,5112303,511,Airport,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"39,325.02",ACTUALS,,"2,015"
001,0001,5500309,550,Parks,52400007,52,Professional Services,OTHER EQUIPMENT RENTAL,42.00,ACTUALS,,"2,015"
001,0001,3300514,330,Public Works,51010016,51,Personnel Services,VACATION,"9,610.80",ACTUALS,,"2,015"
001,0001,3300803,330,Public Works,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"24,746.84",ACTUALS,,"2,015"
285,0465,2800701,280,Finance,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"42,995.30",ACTUALS,,"2,015"
001,0001,4500203,450,Fire,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"18,805.50",ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"2,560.10",ACTUALS,,"2,015"
250,0460,2501302,250,Information Technology,53010001,53,Materials and Supplies,OFFICE SUPPLIES,392.90,ACTUALS,,"2,015"
330,0075,3300601,330,Public Works,51070003,51,Personnel Services,INDEMNITY ADMIN,156.48,ACTUALS,,"2,015"
001,0001,5500110,550,Parks,51130004,51,Personnel Services,CAR ALLOWANCE,"1,241.96",ACTUALS,,"2,015"
020,0100,4200732,420,Police,53010001,53,Materials and Supplies,OFFICE SUPPLIES,307.89,ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"24,375.67",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"25,007.69",ACTUALS,,"2,015"
