"Account.Description","LOBName","ProgramName","OperatingUnitDescription","FundDescription","Total"
"RETIREMENT PENSION CONTRIB","Information Technology Admin","IT-EXECUTIVE LEADERSHIP","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",18451
"RETIREMENT PENSION CONTRIB","Judicial","COURTS MUNICIPAL JUDICAL SVCS","GENERAL OPERATIONS-UASN","GENERAL FUND",24389
"RETIREMENT PENSION CONTRIB","Judicial","COURTS MUNICIPAL JUDICAL SVCS","JUV JUSTICE-RSTR","GENERAL FUND",6147
"RETIREMENT PENSION CONTRIB","Labor & Employment Development","MUN COUN LABOR LITIGATION","GENERAL OPERATIONS-UASN","GENERAL FUND",13456
"RETIREMENT PENSION CONTRIB","Labor & Employment Development","MUN COUN LABOR RELATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",16119
"RETIREMENT PENSION CONTRIB","Labor Relations/Training","HR LABOR RELATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",18337
"RETIREMENT PENSION CONTRIB","Labor Relations/Training","HR POLICY COMPLIANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",9162
"RETIREMENT PENSION CONTRIB","Land Use & Economic Developmnt","MUN COUN ECON DEVELOPMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",21355
"RETIREMENT PENSION CONTRIB","Land Use & Economic Developmnt","MUN COUN LAND USE","GENERAL OPERATIONS-UASN","GENERAL FUND",42812
"RETIREMENT PENSION CONTRIB","Mayors Office","MAYOR","GENERAL OPERATIONS-UASN","GENERAL FUND",9930
"RETIREMENT PENSION CONTRIB","Municipal Counselor Admin","MUN COUN BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",29250
"RETIREMENT PENSION CONTRIB","Municipal Counselor Admin","MUN COUN EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",19535
"RETIREMENT PENSION CONTRIB","Occupational Health","HR OCCUPATIONAL HEALTH","GENERAL OPERATIONS-UASN","GENERAL FUND",12597
"RETIREMENT PENSION CONTRIB","Official City Records","CLERK AGENDA MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",7287
"RETIREMENT PENSION CONTRIB","Official City Records","CLERK BIDDING","GENERAL OPERATIONS-UASN","GENERAL FUND",5700
"RETIREMENT PENSION CONTRIB","Official City Records","CLERK INFORMATION","GENERAL OPERATIONS-UASN","GENERAL FUND",12417
"RETIREMENT PENSION CONTRIB","Official City Records","CLERK RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",9686
"RETIREMENT PENSION CONTRIB","Oklahoma River","OKLAHOMA RIVER","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",16464
"RETIREMENT PENSION CONTRIB","Oklahoma River","OKLAHOMA RIVER ENGINEERING","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",3822
"RETIREMENT PENSION CONTRIB","Parking","MUNICIPAL OFF STREET PARKING","PARKING","PARKING",4411
"RETIREMENT PENSION CONTRIB","Parking","ON STREET PARKING METER","PARKING","PARKING",9047
"RETIREMENT PENSION CONTRIB","Parks Administration","PARKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",32845
"RETIREMENT PENSION CONTRIB","Parks Administration","PARKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",64275
"RETIREMENT PENSION CONTRIB","Parks Civic Center","BOX OFFICE","GENERAL OPERATIONS-UASN","GENERAL FUND",11252
"RETIREMENT PENSION CONTRIB","Parks Civic Center","PERFORMANCE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",67266
"RETIREMENT PENSION CONTRIB","Parks Civic Center","PRIVATE EVENT AND BUS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",4879
"RETIREMENT PENSION CONTRIB","Parks Grounds Management","EQUIPMENT REPAIR","GENERAL OPERATIONS-UASN","GENERAL FUND",20100
"RETIREMENT PENSION CONTRIB","Parks Grounds Management","FORESTRY","GENERAL OPERATIONS-UASN","GENERAL FUND",23272
"RETIREMENT PENSION CONTRIB","Parks Grounds Management","HAZARD ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",7358
"RETIREMENT PENSION CONTRIB","Parks Grounds Management","PARKS AND GROUNDS MAINTENANCE","GENERAL OPERATIONS-UASN","GENERAL FUND",211731
"RETIREMENT PENSION CONTRIB","Parks Horticulture & Gardens","CANAL/FIELD HORTICULTURE","GENERAL OPERATIONS-UASN","GENERAL FUND",31146
"RETIREMENT PENSION CONTRIB","Parks Horticulture & Gardens","CANAL/FIELD HORTICULTURE","MAPS USE TAX OPERATIONS-CMTD","MAPS OPERATIONS",32001
"RETIREMENT PENSION CONTRIB","Parks Horticulture & Gardens","FISHERIES MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",4602
"RETIREMENT PENSION CONTRIB","Parks Horticulture & Gardens","MARTIN NATURE PARK","GENERAL OPERATIONS-UASN","GENERAL FUND",9891
"RETIREMENT PENSION CONTRIB","Parks Horticulture & Gardens","WILL ROGERS GARDENS","GENERAL OPERATIONS-UASN","GENERAL FUND",10572
"RETIREMENT PENSION CONTRIB","Parks Recreation","AQUATICS","GENERAL OPERATIONS-UASN","GENERAL FUND",12203
"RETIREMENT PENSION CONTRIB","Parks Recreation","ATHLETICS","GENERAL OPERATIONS-UASN","GENERAL FUND",15262
"RETIREMENT PENSION CONTRIB","Parks Recreation","GENERAL RECREATION","GENERAL OPERATIONS-UASN","GENERAL FUND",49694
"RETIREMENT PENSION CONTRIB","Parks Recreation","SENIORS","GENERAL OPERATIONS-UASN","GENERAL FUND",8774
"RETIREMENT PENSION CONTRIB","Parks Recreation","SPECIAL EVENTS","GENERAL OPERATIONS-UASN","GENERAL FUND",11245
"RETIREMENT PENSION CONTRIB","Personnel Administration","HR BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",12679
"RETIREMENT PENSION CONTRIB","Personnel Administration","HR EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",8967
"RETIREMENT PENSION CONTRIB","Personnel Operations Division","HR CLASS AND COMPENSATION","GENERAL OPERATIONS-UASN","GENERAL FUND",11492
"RETIREMENT PENSION CONTRIB","Personnel Operations Division","HR EMPLOYMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",20922
"RETIREMENT PENSION CONTRIB","Personnel Operations Division","HR HRIS","GENERAL OPERATIONS-UASN","GENERAL FUND",13583
"RETIREMENT PENSION CONTRIB","Planning Admin","PLANNING BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",6506
"RETIREMENT PENSION CONTRIB","Planning Admin","PLANNING EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",16114
"RETIREMENT PENSION CONTRIB","Planning Admin","PLANNING GRANT & LOAN MGMT","DEPT OF HSG & URB DEVEL-RSTR","GRANTS MANAGEMENT",29402
"RETIREMENT PENSION CONTRIB","Planning Grants","COMMUNITY TRANSFORMATION","STATE & LOCAL GRANTS-RSTR","GRANTS MANAGEMENT",2945
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE BUSINESS SERVICES","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",9180
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",186011
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE BUSINESS SERVICES","POLICE SALES TAX-RSTR","POLICE",1278
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE EMERGENCY MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",29535
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE EXEC LEADERSHIP","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",1943
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE EXEC LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",244886
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE EXEC LEADERSHIP","POLICE SALES TAX-RSTR","POLICE",10276
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE HUMAN RESOURCES","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",1970
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE HUMAN RESOURCES","GENERAL OPERATIONS-UASN","GENERAL FUND",70955
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE HUMAN RESOURCES","POLICE SALES TAX-RSTR","POLICE",4763
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE PROFESSIONAL STANDARDS","GENERAL OPERATIONS-UASN","GENERAL FUND",107067
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE PUBLIC INFORMATION","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",721
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE PUBLIC INFORMATION","GENERAL OPERATIONS-UASN","GENERAL FUND",68180
"RETIREMENT PENSION CONTRIB","Police Chiefs Office","POLICE PUBLIC INFORMATION","POLICE SALES TAX-RSTR","POLICE",4172
"RETIREMENT PENSION CONTRIB","Police Grants","JUSTICE ASSISTANCE GRANT","DEPT OF JUSTICE-RSTR","GRANTS MANAGEMENT",3413
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",1444948
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE INVESTIGATIONS","POLICE SALES TAX-RSTR","POLICE",3139
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE INVESTIGATIONS SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",440517
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE INVESTIGATIONS SUPPORT","POLICE SALES TAX-RSTR","POLICE",59367
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE SPECIAL INVESTIGATIONS","DEPT OF HOMELAND SECURITY-RSTR","GRANTS MANAGEMENT",3617
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE SPECIAL INVESTIGATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",744516
"RETIREMENT PENSION CONTRIB","Police Investigations","POLICE SPECIAL INVESTIGATIONS","POLICE SALES TAX-RSTR","POLICE",14734
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE CRIME PREVENT AND AWARE","GENERAL OPERATIONS-UASN","GENERAL FUND",87289
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE CRIME PREVENT AND AWARE","POLICE SALES TAX-RSTR","POLICE",7660
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE PATROL","GENERAL OPERATIONS-UASN","GENERAL FUND",4571965
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE PATROL","POLICE SALES TAX-RSTR","POLICE",1863484
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE TRAFFIC SAFETY","GENERAL OPERATIONS-UASN","GENERAL FUND",825531
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE TRAFFIC SAFETY","POLICE SALES TAX-RSTR","POLICE",197553
"RETIREMENT PENSION CONTRIB","Police Operational","POLICE YOUTH SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",349883
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE 911 COMMUNICATIONS","EMER MGMT E-911-CMTD","EMERGENCY MANAGEMENT",253754
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE 911 COMMUNICATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",13319
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE 911 COMMUNICATIONS","POLICE SALES TAX-RSTR","POLICE",683
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE INMATE PROCESSING","GENERAL OPERATIONS-UASN","GENERAL FUND",85457
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE INMATE PROCESSING","POLICE SALES TAX-RSTR","POLICE",2039
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE PERMIT SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",26661
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE PERMIT SERVICES","POLICE SALES TAX-RSTR","POLICE",2975
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE RECORDS MANAGEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",308248
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE RECORDS MANAGEMENT","POLICE SALES TAX-RSTR","POLICE",12094
"RETIREMENT PENSION CONTRIB","Police Public Safety Support","POLICE TRAINING","GENERAL OPERATIONS-UASN","GENERAL FUND",127478
"RETIREMENT PENSION CONTRIB","Policy & Executive Leadership","CITY MANAGERS OFFICE","GENERAL OPERATIONS-UASN","GENERAL FUND",60053
"RETIREMENT PENSION CONTRIB","Policy & Executive Leadership","CM LEGISLATIVE","GENERAL OPERATIONS-UASN","GENERAL FUND",5766
"RETIREMENT PENSION CONTRIB","Policy & Executive Leadership","CM Office of Sustainability","GENERAL OPERATIONS-UASN","GENERAL FUND",17429
"RETIREMENT PENSION CONTRIB","Probation","COURTS ADULT PROBATION & COMM","GENERAL OPERATIONS-UASN","GENERAL FUND",4116
"RETIREMENT PENSION CONTRIB","Probation","COURTS ADULT PROBATION & COMM","JUV JUSTICE-RSTR","GENERAL FUND",7118
"RETIREMENT PENSION CONTRIB","Probation","COURTS JUVENILE PROBATION COMM","GENERAL OPERATIONS-UASN","GENERAL FUND",13559
"RETIREMENT PENSION CONTRIB","Probation","COURTS JUVENILE PROBATION COMM","JUV JUSTICE-RSTR","GENERAL FUND",12419
"RETIREMENT PENSION CONTRIB","Procurement Services","PAYMENT PROCESSING","GENERAL OPERATIONS-UASN","GENERAL FUND",52800
"RETIREMENT PENSION CONTRIB","Procurement Services","PURCHASING","GENERAL OPERATIONS-UASN","GENERAL FUND",37485
"RETIREMENT PENSION CONTRIB","Public Information & Marketing","CM EMPLOYEE COMMUNICATION","GENERAL OPERATIONS-UASN","GENERAL FUND",6423
"RETIREMENT PENSION CONTRIB","Public Information & Marketing","CM PRINT SHOP","PRINT SHOP","PRINT SHOP",12615
"RETIREMENT PENSION CONTRIB","Public Information & Marketing","PUBLIC INFORMATION & MARKETING","GENERAL OPERATIONS-UASN","GENERAL FUND",43946
"RETIREMENT PENSION CONTRIB","Public Safety Support LOB","PUBLIC SAFETY APPLICATIONS SUP","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",46726
"RETIREMENT PENSION CONTRIB","Public Safety Support LOB","PUBLIC SAFETY COMMUNICATIONS S","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",96780
"RETIREMENT PENSION CONTRIB","Public Transportation","BUS OPERATIONS","TRANSIT","TRANSPORTATION",12375
"RETIREMENT PENSION CONTRIB","Public Transportation","FACILITY MANAGEMENT","TRANSIT","TRANSPORTATION",4137
"RETIREMENT PENSION CONTRIB","Public Transportation","METRO LIFT ADA TRANSPORTATION","TRANSIT","TRANSPORTATION",3001
"RETIREMENT PENSION CONTRIB","Public Transportation","OKLAHOMA RIVER CRUISES","TRANSIT","TRANSPORTATION",4639
"RETIREMENT PENSION CONTRIB","Public Works Administration","PUB WORKS BUSINESS SERVICES","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",6831
"RETIREMENT PENSION CONTRIB","Public Works Administration","PUB WORKS BUSINESS SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",84807
"RETIREMENT PENSION CONTRIB","Public Works Administration","PUB WORKS EXECUTIVE LEADERSHIP","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",2723
"RETIREMENT PENSION CONTRIB","Public Works Administration","PUB WORKS EXECUTIVE LEADERSHIP","GENERAL OPERATIONS-UASN","GENERAL FUND",9732
"RETIREMENT PENSION CONTRIB","Risk Management","INSURANCE","RISK MANAGEMENT","RISK MANAGEMENT",3735
"RETIREMENT PENSION CONTRIB","Risk Management","WORKERS COMP AND SAFETY","RISK MANAGEMENT","RISK MANAGEMENT",47927
"RETIREMENT PENSION CONTRIB","Street & Drainage Maint","DRAINAGE","DRAINAGE CITY OPERATIONS","STORMWATER DRAINAGE",193354
"RETIREMENT PENSION CONTRIB","Street & Drainage Maint","GRAFFITI REMOVAL","GENERAL OPERATIONS-UASN","GENERAL FUND",7780
"RETIREMENT PENSION CONTRIB","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",311776
"RETIREMENT PENSION CONTRIB","Street & Drainage Maint","TRAFFIC OPERATIONS","GENERAL OPERATIONS-UASN","GENERAL FUND",138867
"RETIREMENT PENSION CONTRIB","Support Services","FIRE DISPATCH","FIRE SALES TAX-RSTR","FIRE",19333
"RETIREMENT PENSION CONTRIB","Support Services","FIRE DISPATCH","GENERAL OPERATIONS-UASN","GENERAL FUND",175212
"RETIREMENT PENSION CONTRIB","Support Services","FIRE MAINTENANCE SERVICES","FIRE SALES TAX-RSTR","FIRE",17428
"RETIREMENT PENSION CONTRIB","Support Services","FIRE MAINTENANCE SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",43536
"RETIREMENT PENSION CONTRIB","TECHNOLOGY APP SUPPORT","IT-DEPARTMENTAL SYSTEMS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",31401
"RETIREMENT PENSION CONTRIB","TECHNOLOGY APP SUPPORT","IT-ENTERPRISE BUSINESS APPS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",44252
"RETIREMENT PENSION CONTRIB","TECHNOLOGY APP SUPPORT","IT-GIS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",26526
"RETIREMENT PENSION CONTRIB","TECHNOLOGY CUSTOMER SUPPORT","IT-SERVICE DESK","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",29347
"RETIREMENT PENSION CONTRIB","Technology Enhancements","IT-Data Management Program","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",26952
"RETIREMENT PENSION CONTRIB","Technology Enhancements","IT-Development Services","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",21454
"RETIREMENT PENSION CONTRIB","Technology Enhancements","IT-Project Management","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",24387
"RETIREMENT PENSION CONTRIB","Technology Infrastructure","Configuration Mgmt Team","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",11136
"RETIREMENT PENSION CONTRIB","Technology Infrastructure","IT- Communications Technology","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",29265
"RETIREMENT PENSION CONTRIB","Technology Infrastructure","IT-NETWORK","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",34680
"RETIREMENT PENSION CONTRIB","Technology Infrastructure","IT-SECURITY","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",26634
"RETIREMENT PENSION CONTRIB","Technology Infrastructure","IT-SERVERS","INFORMATION TECHNOLOGY","INFORMATION TECHNOLOGY",29277
"RETIREMENT PENSION CONTRIB","Traffic","DATA COLLECTION","GENERAL OPERATIONS-UASN","GENERAL FUND",6873
"RETIREMENT PENSION CONTRIB","Traffic","TRAFFIC AND TRANSPORTATION","GENERAL OPERATIONS-UASN","GENERAL FUND",23645
"RETIREMENT PENSION CONTRIB","Traffic","TRAFFIC ENGINEERING","GENERAL OPERATIONS-UASN","GENERAL FUND",35223
"RETIREMENT PENSION CONTRIB","Transit","BUSINESS SERVICES","PARKING","PARKING",881
"RETIREMENT PENSION CONTRIB","Transit","BUSINESS SERVICES","TRANSIT","TRANSPORTATION",16691
"RETIREMENT PENSION CONTRIB","Transit","EXECUTIVE LEADERSHIP","PARKING","PARKING",2287
"RETIREMENT PENSION CONTRIB","Transit","EXECUTIVE LEADERSHIP","TRANSIT","TRANSPORTATION",29961
"RETIREMENT PENSION CONTRIB","Transit","PUBLIC INFORMATION","TRANSIT","TRANSPORTATION",25410
"RETIREMENT PENSION CONTRIB","Trusts, Utilities and Finance","MUN COUN TRUSTS & UTILITIES","GENERAL OPERATIONS-UASN","GENERAL FUND",11370
"RETIREMENT PENSION CONTRIB","Trusts, Utilities and Finance","MUN COUNS TUF LEGAL SERVICES","GENERAL OPERATIONS-UASN","GENERAL FUND",42429
"RETIREMENT PENSION CONTRIB","Urban Design And Planning","COMPREHENSIVE PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",36866
"RETIREMENT PENSION CONTRIB","Urban Design And Planning","CURRENT PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",8824
"RETIREMENT PENSION CONTRIB","Urban Design And Planning","QUALITY DESIGN AND COMMUN APP","GENERAL OPERATIONS-UASN","GENERAL FUND",15997
"RETIREMENT PENSION CONTRIB","Urban Redevelopment","PLANNING URBAN REDEV PLANNING","GENERAL OPERATIONS-UASN","GENERAL FUND",36173
"RETIREMENT PENSION CONTRIB","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WASTEWATER CITY OPERATIONS","WATER UTILITIES",90978
"RETIREMENT PENSION CONTRIB","UTILITIES ADMIN LOB","UTILITIES BUSINESS SERVICES","WATER CITY OPERATIONS","WATER UTILITIES",93724
"RETIREMENT PENSION CONTRIB","UTILITIES ADMIN LOB","UTILITIES EXECUTIVE LEADERSHIP","WASTEWATER CITY OPERATIONS","WATER UTILITIES",11765
"RETIREMENT PENSION CONTRIB","UTILITIES ADMIN LOB","UTILITIES EXECUTIVE LEADERSHIP","WATER CITY OPERATIONS","WATER UTILITIES",11766
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILIITIES CUST SERV BILLING","WASTEWATER CITY OPERATIONS","WATER UTILITIES",90338
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILIITIES CUST SERV BILLING","WATER CITY OPERATIONS","WATER UTILITIES",109795
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILITIES FIELD SUPPORT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",61899
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILITIES FIELD SUPPORT","WATER CITY OPERATIONS","WATER UTILITIES",72370
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILITIES METER MAINTENANCE","WASTEWATER CITY OPERATIONS","WATER UTILITIES",90550
"RETIREMENT PENSION CONTRIB","UTILITIES CUST SERVICE LOB","UTILITIES METER MAINTENANCE","WATER CITY OPERATIONS","WATER UTILITIES",92987
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES DESIGN","WASTEWATER CITY OPERATIONS","WATER UTILITIES",39193
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES DESIGN","WATER CITY OPERATIONS","WATER UTILITIES",39191
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES INFRSTRCTRE RECORDS","WASTEWATER CITY OPERATIONS","WATER UTILITIES",11912
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES INFRSTRCTRE RECORDS","WATER CITY OPERATIONS","WATER UTILITIES",11912
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES PRIVATE DEVELOPMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",12782
"RETIREMENT PENSION CONTRIB","UTILITIES ENGINEERING LOB","UTILITIES PRIVATE DEVELOPMENT","WATER CITY OPERATIONS","WATER UTILITIES",12784
"RETIREMENT PENSION CONTRIB","UTILITIES LINE MAINT LOB","UTILIITIES WW LINE MAINT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",333891
"RETIREMENT PENSION CONTRIB","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WASTEWATER CITY OPERATIONS","WATER UTILITIES",34439
"RETIREMENT PENSION CONTRIB","UTILITIES LINE MAINT LOB","UTILITIES LM FLEET OPERATIONS","WATER CITY OPERATIONS","WATER UTILITIES",34441
"RETIREMENT PENSION CONTRIB","UTILITIES LINE MAINT LOB","UTILITIES WATER LINE MAINT","WATER CITY OPERATIONS","WATER UTILITIES",277189
"RETIREMENT PENSION CONTRIB","UTILITIES SOLID WASTE LOB","UTILITIES BULKY WASTE","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",93560
"RETIREMENT PENSION CONTRIB","UTILITIES SOLID WASTE LOB","UTILITIES ENVIRON CLEANUP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",28630
"RETIREMENT PENSION CONTRIB","UTILITIES SOLID WASTE LOB","UTILITIES SOLID WASTE","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",135988
"RETIREMENT PENSION CONTRIB","UTILITIES SOLID WASTE LOB","UTILITIES SW QUAL CONTROL SUPP","SOLID WASTE CASH ACCOUNT","SOLID WASTE MANAGEMENT",91336
"RETIREMENT PENSION CONTRIB","UTILITIES WASTEWATER QUAL LOB","UTILITIES IND WASTE PRETREAT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",31823
"RETIREMENT PENSION CONTRIB","UTILITIES WASTEWATER QUAL LOB","UTILITIES LIFT STATION","WASTEWATER CITY OPERATIONS","WATER UTILITIES",49425
"RETIREMENT PENSION CONTRIB","UTILITIES WASTEWATER QUAL LOB","UTILITIES WASTEWATER TREATMENT","WASTEWATER CITY OPERATIONS","WATER UTILITIES",23177
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES DRAPER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",74606
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES HEFNER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",74116
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES LAB AND SYS QUALITY","WATER CITY OPERATIONS","WATER UTILITIES",51341
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES OVERHOLSER TREATMENT","WATER CITY OPERATIONS","WATER UTILITIES",67172
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES RAW WATER","WATER CITY OPERATIONS","WATER UTILITIES",18837
"RETIREMENT PENSION CONTRIB","UTILITIES WATER QUALITY LOB","UTILITIES TRUST PROPERTY MAINT","WATER CITY OPERATIONS","WATER UTILITIES",163732
"RURAL ROAD MATERIALS","Street & Drainage Maint","STREETS","GENERAL OPERATIONS-UASN","GENERAL FUND",120076
"SAFETY EQUIPMENT & SUPPLIES","Cox Conv Center Cap Replacmnt","COX CONV CENTER CAP REPLACMNT","MAPS USE CAP RPLCMNT-CMTD","MAPS OPERATIONS",1495
"SAFETY EQUIPMENT & SUPPLIES","Field Services","CONSTR INSPECTION/QUALITY CTRL","GENERAL OPERATIONS-UASN","GENERAL FUND",1500
"SAFETY EQUIPMENT & SUPPLIES","Field Services","SURVEY","GENERAL OPERATIONS-UASN","GENERAL FUND",600
"SAFETY EQUIPMENT & SUPPLIES","Parks Civic Center","PERFORMANCE SUPPORT","GENERAL OPERATIONS-UASN","GENERAL FUND",500
"SAFETY EQUIPMENT & SUPPLIES","Parks Grounds Management","EQUIPMENT REPAIR","GENERAL OPERATIONS-UASN","GENERAL FUND",2000
"SAFETY EQUIPMENT & SUPPLIES","Parks Grounds Management","FORESTRY","GENERAL OPERATIONS-UASN","GENERAL FUND",2000
"SAFETY EQUIPMENT & SUPPLIES","Parks Grounds Management","HAZARD ABATEMENT","GENERAL OPERATIONS-UASN","GENERAL FUND",2000
