Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Financing,Appropriation Lapse,-220000,,Signal Maint-Miscellaneous,3140 - Signal Maint-Miscellaneous,2020,9959
FY19,Expense,Public Services,Traffic Safety,Major Streets,Supplies,Supplies,1000,,Computerized Intersections,3200 - Computerized Intersections,2020,7520
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Contractual Services,100000,,Computerized Intersections,3200 - Computerized Intersections,2020,8010
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Full Time Employees,444814,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7020
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Time & One-half,3600,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7055
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Employers FICA,34320,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7105
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Hospitalization Insurance,114480,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7110
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Retiree Health Care-OPEB,54931,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7115
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Retirement Fund Contribution,101028,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7120
FY19,Expense,Public Services,Traffic Safety,Major Streets,Personnel Services,Unemployment Compensation,624,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7135
FY19,Expense,Public Services,Traffic Safety,Major Streets,Supplies,Supplies,117300,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7520
FY19,Expense,Public Services,Traffic Safety,Major Streets,Supplies,Clothing,500,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,7670
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Contractual Services,284610,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,8010
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Contract Employees-Temporary Services,31200,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,8011
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Claims,75898,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,8450
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Telephone,2400,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,8500
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Equipment Rentals or Lease,4484,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9410
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,34649,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9430
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Fleet Management Equipment Charges,62017,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9440
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Services and Charges,Computer Services-from IT,37318,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9480
FY19,Expense,Public Services,Traffic Safety,Major Streets,Capital Outlays,Equipment,10000,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9760
FY19,Expense,Public Services,Traffic Safety,Major Streets,Other Financing,Operating Transfers-A87 Cost,5993,,Sign Shop-Miscellaneous,4100 - Sign Shop-Miscellaneous,2020,9952
FY19,Expense,Public Services,Traffic Safety,Major Streets,Supplies,Supplies,10000,,Barricades,4250 - Barricades,2020,7520
FY19,Expense,Public Services,Traffic Safety,Capital Improvement,Capital Outlays,Construction In Progress,83500,,Signal Expansion Projects,9000 - Signal Expansion Projects,4010,9880
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,618873,,Administration,1000 - Administration,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Acting Assignment,500,,Administration,1000 - Administration,5910,7025
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,500,,Administration,1000 - Administration,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,47328,,Administration,1000 - Administration,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,123120,,Administration,1000 - Administration,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,76770,,Administration,1000 - Administration,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,141092,,Administration,1000 - Administration,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,864,,Administration,1000 - Administration,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,6000,,Administration,1000 - Administration,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Supplies,Subscriptions and Publications,3000,,Administration,1000 - Administration,5910,7910
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,200000,,Administration,1000 - Administration,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Administrative Services,151183,,Administration,1000 - Administration,5910,8030
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fees,37500,,Administration,1000 - Administration,5910,8240
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Insurance Premiums,241791,,Administration,1000 - Administration,5910,8400
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Claims,253013,,Administration,1000 - Administration,5910,8450
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,3902,,Administration,1000 - Administration,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Transportation-Mileage Reimbursement,400,,Administration,1000 - Administration,5910,8610
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Community Promotion,3000,,Administration,1000 - Administration,5910,8800
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Printing & Publishing,2000,,Administration,1000 - Administration,5910,9000
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Professional Development,33550,,Administration,1000 - Administration,5910,9100
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Other Travel & Training,39500,,Administration,1000 - Administration,5910,9110
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Local Business Expense,1000,,Administration,1000 - Administration,5910,9130
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Memberships,45670,,Administration,1000 - Administration,5910,9150
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Water,7500,,Administration,1000 - Administration,5910,9180
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Refuse Collection Charges,7500,,Administration,1000 - Administration,5910,9190
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Electricity,56000,,Administration,1000 - Administration,5910,9200
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Natural Gas,30000,,Administration,1000 - Administration,5910,9210
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Maintenance Service,120000,,Administration,1000 - Administration,5910,9340
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Land Rental or Lease,3500,,Administration,1000 - Administration,5910,9400
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Buildings Rentals or Lease-Facility Mgmt,5686,,Administration,1000 - Administration,5910,9430
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Engineering Services,12750,,Administration,1000 - Administration,5910,9460
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Parking,1800,,Administration,1000 - Administration,5910,9470
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,28698,,Administration,1000 - Administration,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,52000,,Administration,1000 - Administration,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Software,6000,,Administration,1000 - Administration,5910,9840
FY19,Expense,Public Services,Water,Water Operations,Debt Service,Interest to Financial Institution,5276837,,Administration,1000 - Administration,5910,9920
FY19,Expense,Public Services,Water,Water Operations,Debt Service,Paying Agent Fees,15000,,Administration,1000 - Administration,5910,9930
FY19,Expense,Public Services,Water,Water Operations,Other Financing,Operating Transfers-A87 Cost,956231,,Administration,1000 - Administration,5910,9952
FY19,Expense,Public Services,Water,Water Operations,Other Financing,Operating Trans-Capt Projects,11977000,,Administration,1000 - Administration,5910,9953
FY19,Expense,Public Services,Water,Water Operations,Other Financing,Appropriation Lapse,-1398000,,Administration,1000 - Administration,5910,9959
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,1665283,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Acting Assignment,4098,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7025
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Regular Hourly Rate,2000,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7050
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,102000,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,127405,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,428976,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,205620,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,378118,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,2286,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Shift Differential,1470,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7165
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,824952,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Supplies,Clothing,4492,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,7670
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,1080751,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contract Employees-Temporary Services,26150,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8011
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,14832,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Phone Reimbursement,2998,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8505
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Postage,8000,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8510
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Transportation-Mileage Reimbursement,11499,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,8610
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Professional Development,18500,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9100
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Equipment Rentals or Lease,1388,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9410
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fleet Management Equipment Charges,146610,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9440
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,311 Call Center Services,554837,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9450
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Parking,3000,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9470
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,134070,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,6500,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Furniture,3000,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9800
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Software,3500,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9840
FY19,Expense,Public Services,Water,Water Operations,Other Financing,Operating Transfers-A87 Cost,44512,,Cust Srv-Administration Genera,2110 - Cust Srv-Administration Genera,5910,9952
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,564727,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Acting Assignment,2000,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7025
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Temporary Noncontract Employees,60300,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7040
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,14534,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,49068,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,115560,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,69727,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,128232,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,3052,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,5000,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,78750,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,5000,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Phone Reimbursement,1260,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,8505
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Maintenance Service,8000,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9340
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Equipment Rentals or Lease,11380,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9410
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fleet Management Equipment Charges,19818,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9440
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Parking,600,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9470
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,52614,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,7300,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Other Financing,Operating Trans-Dev Center,21587,,Engin-Adm Gen,3010 - Engin-Adm Gen,5910,9954
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,391200,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,10500,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,29919,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,97920,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,48309,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,88835,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,540,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Shift Differential,250,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7165
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,90000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Supplies,Clothing,600,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,7670
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,268100,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contract Serv-Training,5000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8015
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Pavement Repair,5000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8080
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fees,500,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8240
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,3500,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Phone Reimbursement,450,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,8505
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Water,9500,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9180
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Refuse Collection Charges,650,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9190
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Electricity,1400000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9200
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Natural Gas,80000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9210
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Maintenance Service,40000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9340
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Equipment Rentals or Lease,6452,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9410
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fleet Management Equipment Charges,68367,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9440
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,14349,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,90000,,Coldbr Dist-Admin Gen,4510 - Coldbr Dist-Admin Gen,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,1834942,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Acting Assignment,5000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7025
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Temporary Noncontract Employees,32000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7040
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,250000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,140425,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,444264,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,226538,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,416607,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,2582,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Shift Differential,1200,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7165
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,550000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Supplies,Clothing,11150,,Field Op-Admin General,6010 - Field Op-Admin General,5910,7670
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,2675000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contract Employees-Temporary Services,108032,,Field Op-Admin General,6010 - Field Op-Admin General,5910,8011
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,20000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Phone Reimbursement,4619,,Field Op-Admin General,6010 - Field Op-Admin General,5910,8505
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Memberships,1050,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9150
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Maintenance Service,30000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9340
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Equipment Rentals or Lease,34573,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9410
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fleet Management Equipment Charges,972715,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9440
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Parking,600,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9470
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Computer Services-from IT,148132,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9480
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Equipment,140000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9760
FY19,Expense,Public Services,Water,Water Operations,Capital Outlays,Furniture,5000,,Field Op-Admin General,6010 - Field Op-Admin General,5910,9800
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Full Time Employees,1918263,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7020
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Acting Assignment,5000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7025
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Regular Hourly Rate,4500,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7050
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Time & One-half,99655,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7055
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Employers FICA,146752,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7105
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Hospitalization Insurance,446400,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7110
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retiree Health Care-OPEB,236878,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7115
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Retirement Fund Contribution,435451,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7120
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Unemployment Compensation,2708,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7135
FY19,Expense,Public Services,Water,Water Operations,Personnel Services,Shift Differential,9000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7165
FY19,Expense,Public Services,Water,Water Operations,Supplies,Supplies,196000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7520
FY19,Expense,Public Services,Water,Water Operations,Supplies,Process Chemicals,1106000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7530
FY19,Expense,Public Services,Water,Water Operations,Supplies,Clothing,6000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7670
FY19,Expense,Public Services,Water,Water Operations,Supplies,Subscriptions and Publications,400,,Filtration-Admin General,6510 - Filtration-Admin General,5910,7910
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contractual Services,351400,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8010
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Contract Employees-Temporary Services,56000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8011
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Fees,4000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8240
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Telephone,25000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8500
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Employee Phone Reimbursement,7000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8505
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Postage,170,,Filtration-Admin General,6510 - Filtration-Admin General,5910,8510
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Professional Development,1000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9100
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Refuse Collection Charges,6000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9190
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Electricity,2060000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9200
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Natural Gas,160000,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9210
FY19,Expense,Public Services,Water,Water Operations,Other Services and Charges,Maintenance Service,654200,,Filtration-Admin General,6510 - Filtration-Admin General,5910,9340
