FiscalYear,AccountType,FundCode,FundDescription,OperatingUnit,OperatingUnitDescription,ProgramID,ProgramName,LineOfBusinessID,LOBName,Account,Account Description,FY2015 Budget
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53010001,OFFICE SUPPLIES,3600
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53010007,COMPUTER SUPPLIES,1800
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53040013,REPAIR & MAINTENANCE PARTS,97797
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53040025,SMALL TOOLS & MINOR EQUIP,12250
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53040031,OTHER EQUIPMENT,12700
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53890004,CLOTHING & OTHER,7500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990202,UTILITIES METER MAINTENANCE,39902,UTILITIES CUST SERVICE LOB,53890022,OTHER SUPPLIES,2200
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,51010007,OVERTIME WAGES,15468
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,52070010,TELEPHONE,150
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,52310001,PRINTING & BINDING,4500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,52340034,OTHER REPAIRS AND MAINTENANCE,5125
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,52400007,OTHER EQUIPMENT RENTAL,230
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,52890001,OTHER SERVICES AND CHARGES,2350
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53010001,OFFICE SUPPLIES,1500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53010007,COMPUTER SUPPLIES,2000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53040013,REPAIR & MAINTENANCE PARTS,56474
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53040025,SMALL TOOLS & MINOR EQUIP,28500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53040031,OTHER EQUIPMENT,1580
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53890004,CLOTHING & OTHER,7975
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53890021,PHOTOGRAPHIC SUPPLIES,140
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990203,UTILITIES FIELD SUPPORT,39902,UTILITIES CUST SERVICE LOB,53890022,OTHER SUPPLIES,10150
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,51010004,PART TIME & TEMPORARY WAGES,11000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,51010007,OVERTIME WAGES,15448
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,51010022,SALARY ADJUSTMENTS,6233
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,51510022,SAFETY PROGRAM EXPENSE,1215
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52010028,MISCELLANEOUS SRVCS CONTRACTS,650
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52070010,TELEPHONE,12000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52130001,MEMBERSHIPS,200
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52310001,PRINTING & BINDING,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52310004,POSTAGE,500609
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52340016,MACHINERY AND EQUIPMENT MTCE,39933
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52340034,OTHER REPAIRS AND MAINTENANCE,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52400007,OTHER EQUIPMENT RENTAL,385
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,52890001,OTHER SERVICES AND CHARGES,15642
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53010001,OFFICE SUPPLIES,15500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53010007,COMPUTER SUPPLIES,108609
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53010013,NON-CAPITAL OFFICE MACHINES,5250
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,10425
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53040025,SMALL TOOLS & MINOR EQUIP,100
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53040031,OTHER EQUIPMENT,550
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53100001,EDUCATIONAL & TRAINING,810
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53890004,CLOTHING & OTHER,300
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990204,UTILIITIES CUST SERV BILLING,39902,UTILITIES CUST SERVICE LOB,53890022,OTHER SUPPLIES,2550
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,51010004,PART TIME & TEMPORARY WAGES,17000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,51130010,MILEAGE REIMBURSEMENT,700
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,52130001,MEMBERSHIPS,1500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,52340016,MACHINERY AND EQUIPMENT MTCE,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,52890001,OTHER SERVICES AND CHARGES,14000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,53010001,OFFICE SUPPLIES,13000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,53010007,COMPUTER SUPPLIES,7000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,1800
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990303,UTILITIES DESIGN,39903,UTILITIES ENGINEERING LOB,53890022,OTHER SUPPLIES,4200
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,51010007,OVERTIME WAGES,192400
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52010028,MISCELLANEOUS SRVCS CONTRACTS,50625
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52070004,"WATER, SEWER & REFUSE",16000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52130001,MEMBERSHIPS,2016
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52130004,SUBSCRIPTIONS,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52250001,ADVERTISING,1000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52340025,PAVEMENT MAINTENANCE,105200
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52340028,CUSTODIAL SERVICE,20000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,52890001,OTHER SERVICES AND CHARGES,33338
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53010001,OFFICE SUPPLIES,9500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53010007,COMPUTER SUPPLIES,2500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53010013,NON-CAPITAL OFFICE MACHINES,1000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,1000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53040001,JANITOR SUPPLIES,5000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53040013,REPAIR & MAINTENANCE PARTS,1194454
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53040025,SMALL TOOLS & MINOR EQUIP,72000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53130025,LANDSCAPING,209000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53160004,UNIFORMS & EQUIPMENT,31275
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53890004,CLOTHING & OTHER,5325
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990402,UTILITIES WATER LINE MAINT,39904,UTILITIES LINE MAINT LOB,53890022,OTHER SUPPLIES,5000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,51010007,OVERTIME WAGES,9750
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,52130001,MEMBERSHIPS,2700
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,52890001,OTHER SERVICES AND CHARGES,28956
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53010001,OFFICE SUPPLIES,1500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53010007,COMPUTER SUPPLIES,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040001,JANITOR SUPPLIES,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040004,MOTOR OIL,20000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040007,FUEL,462380
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040013,REPAIR & MAINTENANCE PARTS,245925
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040025,SMALL TOOLS & MINOR EQUIP,15540
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53040028,TIRES AND TUBES,60000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53160004,UNIFORMS & EQUIPMENT,2557
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53890004,CLOTHING & OTHER,100
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990404,UTILITIES LM FLEET OPERATIONS,39904,UTILITIES LINE MAINT LOB,53890022,OTHER SUPPLIES,1000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,51010004,PART TIME & TEMPORARY WAGES,20000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,51010007,OVERTIME WAGES,4232
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52010028,MISCELLANEOUS SRVCS CONTRACTS,50500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52070001,ELECTRICITY,7180000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52070010,TELEPHONE,17547
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52130001,MEMBERSHIPS,400
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52340016,MACHINERY AND EQUIPMENT MTCE,13500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52400007,OTHER EQUIPMENT RENTAL,300
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,52890001,OTHER SERVICES AND CHARGES,13000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53010001,OFFICE SUPPLIES,6000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53010007,COMPUTER SUPPLIES,12100
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,3000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53040007,FUEL,3000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53040013,REPAIR & MAINTENANCE PARTS,28200
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53040025,SMALL TOOLS & MINOR EQUIP,1500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53040031,OTHER EQUIPMENT,3000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53100001,EDUCATIONAL & TRAINING,1000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53890004,CLOTHING & OTHER,5750
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990502,UTILITIES RAW WATER,39905,UTILITIES WATER QUALITY LOB,53890022,OTHER SUPPLIES,2500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,51010007,OVERTIME WAGES,899
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,52890001,OTHER SERVICES AND CHARGES,42405
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53010001,OFFICE SUPPLIES,3000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53010007,COMPUTER SUPPLIES,2000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,281
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53040013,REPAIR & MAINTENANCE PARTS,4000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53040025,SMALL TOOLS & MINOR EQUIP,2000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53890004,CLOTHING & OTHER,7165
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990503,UTILITIES LAB AND SYS QUALITY,39905,UTILITIES WATER QUALITY LOB,53890022,OTHER SUPPLIES,98500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,51010004,PART TIME & TEMPORARY WAGES,18000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,51010007,OVERTIME WAGES,26000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,51130010,MILEAGE REIMBURSEMENT,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52070001,ELECTRICITY,1297774
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52070007,NATURAL GAS,36395
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52070010,TELEPHONE,3780
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52130001,MEMBERSHIPS,360
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52340016,MACHINERY AND EQUIPMENT MTCE,46850
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52400007,OTHER EQUIPMENT RENTAL,420
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,52890001,OTHER SERVICES AND CHARGES,23313
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53010001,OFFICE SUPPLIES,2100
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53010007,COMPUTER SUPPLIES,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53010013,NON-CAPITAL OFFICE MACHINES,500
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53010016,NON-CAPITAL FURNITURE & FIXTUR,1090
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53040001,JANITOR SUPPLIES,2750
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53040013,REPAIR & MAINTENANCE PARTS,190000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53040025,SMALL TOOLS & MINOR EQUIP,22000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53040031,OTHER EQUIPMENT,8000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53130013,CHEMICALS,2575000
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53890004,CLOTHING & OTHER,13131
FY14-15,Expense,399,WATER UTILITIES,3001,WATER CITY OPERATIONS,3990504,UTILITIES DRAPER TREATMENT,39905,UTILITIES WATER QUALITY LOB,53890022,OTHER SUPPLIES,6500
