Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Technology & Change Management,Information Technology,6200,6200 - FMS-Implementation,6820,Financial Management System,Personal Services,7040,Temporary Noncontract Employees,300000
FY17,Expense,Technology & Change Management,Information Technology,6200,6200 - FMS-Implementation,6820,Financial Management System,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,83612
FY17,Expense,Technology & Change Management,Information Technology,6200,6200 - FMS-Implementation,6820,Financial Management System,Other Services and Charges,8010,Contractual Services,2600000
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Other Services and Charges,9100,Professional Development,2400
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7115,Retiree Health Care-OPEB,12349
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7020,Full Time Employees,216655
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Capital Outlays,9760,Equipment,55000
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Other Services and Charges,8010,Contractual Services,650
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7105,Employers FICA,17975
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7040,Temporary Noncontract Employees,18313
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Other Services and Charges,8500,Telephone,12000
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7135,Unemployment Compensation,329
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7120,Retirement Fund Contribution,51412
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Other Services and Charges,9340,Maintenance Service,6000
FY17,Expense,Public Library,Library,6200,6200 - Information Systems,2710,Public Library Operating,Personal Services,7110,Hospitalization Insurance,35100
FY17,Expense,Community Services,Parks and Recreation,6200,6200 - Park Improvements-Millage,2081,Parks Millage,Other Services and Charges,8010,Contractual Services,1076779
FY17,Expense,Community Services,Parks and Recreation,6200,6200 - Park Improvements-Millage,2081,Parks Millage,Other Financing,9952,Operating Transfers-A87 Cost,23017
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,21513
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,9442
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7020,Full Time Employees,78358
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,18410
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7135,Unemployment Compensation,109
FY17,Expense,Enterprise Services,Water,6220,6220 - Field Op-Inventory Stckrm,5910,Water Operations,Personal Services,7105,Employers FICA,5995
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7105,Employers FICA,27652
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,84927
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,43555
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Other Services and Charges,9410,Equipment Rentals or Lease,41747
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,86052
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7020,Full Time Employees,361466
FY17,Expense,Enterprise Services,Water,6230,6230 - Field Op-Equip Maint Misc,5910,Water Operations,Personal Services,7135,Unemployment Compensation,501
FY17,Expense,Technology & Change Management,Information Technology,6300,6300 - FMS-Incidentals,6820,Financial Management System,Supplies,7520,Supplies,2500
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7110,Hospitalization Insurance,9220
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7020,Full Time Employees,39442
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7105,Employers FICA,3017
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Other Financing,9952,Operating Transfers-A87 Cost,14410
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Other Services and Charges,8500,Telephone,150
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7135,Unemployment Compensation,55
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7115,Retiree Health Care-OPEB,4753
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Other Services and Charges,9410,Equipment Rentals or Lease,750
FY17,Expense,Community Services,Parks and Recreation,6310,6310 - Pools-Support-Millage,2081,Parks Millage,Personal Services,7120,Retirement Fund Contribution,9267
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Other Services and Charges,8010,Contractual Services,14449
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Other Services and Charges,8500,Telephone,540
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Personal Services,7135,Unemployment Compensation,10756
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Supplies,7520,Supplies,17500
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Personal Services,7040,Temporary Noncontract Employees,283810
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Personal Services,7105,Employers FICA,21711
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Supplies,7670,Clothing,750
FY17,Expense,Community Services,Parks and Recreation,6320,6320 - Pools-Open Swim-Millage,2081,Parks Millage,Other Services and Charges,8011,Contract Employees-Temporary Services,13862
FY17,Expense,Community Services,Parks and Recreation,6330,6330 - Pools-Swim Lessons-Millage,2081,Parks Millage,Supplies,7520,Supplies,500
FY17,Expense,Community Services,Parks and Recreation,6330,6330 - Pools-Swim Lessons-Millage,2081,Parks Millage,Personal Services,7135,Unemployment Compensation,600
FY17,Expense,Community Services,Parks and Recreation,6330,6330 - Pools-Swim Lessons-Millage,2081,Parks Millage,Personal Services,7105,Employers FICA,1212
FY17,Expense,Community Services,Parks and Recreation,6330,6330 - Pools-Swim Lessons-Millage,2081,Parks Millage,Personal Services,7040,Temporary Noncontract Employees,15840
FY17,Expense,Community Services,Parks and Recreation,6330,6330 - Pools-Swim Lessons-Millage,2081,Parks Millage,Supplies,7670,Clothing,150
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,9210,Natural Gas,15000
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7115,Retiree Health Care-OPEB,4950
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,9340,Maintenance Service,6000
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,9200,Electricity,12000
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7120,Retirement Fund Contribution,9651
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,8500,Telephone,200
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7040,Temporary Noncontract Employees,50400
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7110,Hospitalization Insurance,8237
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,8240,Fees,1500
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7105,Employers FICA,6998
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Supplies,7520,Supplies,48879
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,8011,Contract Employees-Temporary Services,18105
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Other Services and Charges,9180,Water,60000
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7135,Unemployment Compensation,1967
FY17,Expense,Community Services,Parks and Recreation,6360,6360 - Pools-Maintenance,2081,Parks Millage,Personal Services,7020,Full Time Employees,41077
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7105,Employers FICA,128459
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7025,Acting Assignment,3000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9200,Electricity,2000000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,374768
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7020,Full Time Employees,1595097
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9480,Computer Services-from IT,200093
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Supplies,7520,Supplies,1067600
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9190,Refuse Collection Charges,1000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,8505,Employee Phone Reimbursement,867
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9440,Fleet Management Equipment Charges,58309
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9470,Employee Parking,472
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,8510,Postage,160
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9460,Engineering Services,2400
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Supplies,7910,Subscriptions and Publications,400
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,8240,Fees,4000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7165,Shift Differential,8000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9410,Equipment Rentals or Lease,3602
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7050,Regular Hourly Rate,3500
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,8010,Contractual Services,458967
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9210,Natural Gas,180000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7135,Unemployment Compensation,2329
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Supplies,7670,Clothing,600
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,8500,Telephone,8286
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,192202
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7055,Time & One-half,69615
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Capital Outlays,9760,Equipment,216600
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9100,Professional Development,1000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,331915
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Capital Outlays,9840,Software,15000
FY17,Expense,Enterprise Services,Water,6510,6510 - Filtration-Admin General,5910,Water Operations,Other Services and Charges,9340,Maintenance Service,472420
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7020,Full Time Employees,209419
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,49203
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7135,Unemployment Compensation,290
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7105,Employers FICA,16021
FY17,Expense,Enterprise Services,Water,6530,6530 - Filtration-Pump Trtmt Ope,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,25234
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7020,Full Time Employees,55063
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7135,Unemployment Compensation,76
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7105,Employers FICA,4212
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7120,Retirement Fund Contribution,12937
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7110,Hospitalization Insurance,12293
FY17,Expense,Enterprise Services,Water,6540,6540 - Filtration-Main of Equip,5910,Water Operations,Personal Services,7115,Retiree Health Care-OPEB,6635
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Services and Charges,9470,Employee Parking,3816
FY17,Revenue,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Financing Sources,6991,Operating Transfers-Subsidy,58726
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Services and Charges,8450,Claims,1781
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Financing,9952,Operating Transfers-A87 Cost,12727
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Services and Charges,8500,Telephone,1600
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Services and Charges,9480,Computer Services-from IT,17697
FY17,Expense,Community Services,Our Community's Children,7000,7000 - Grants,2730,Other Grants,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,21105
FY17,Revenue,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Revenues,6883,Grantee Program Income,4438
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7020,Full Time Employees,56766
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7105,Employers FICA,34852
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7110,Hospitalization Insurance,9343
FY17,Revenue,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Federal Grants,5285,Dept of Housing & Urban Develop,4066210
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,52694
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9450,311 Call Center Services,537
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9470,Employee Parking,19080
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,1010,General Fund Operating,Capital Outlays,9760,Equipment,1500
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9000,Printing & Publishing,3500
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7120,Retirement Fund Contribution,13337
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Services and Charges,8450,Claims,1324
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Capital Outlays,9760,Equipment,3000
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7120,Retirement Fund Contribution,107037
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Supplies,7520,Supplies,8459
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,8450,Claims,10598
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Services and Charges,9450,311 Call Center Services,67
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9110,Other Travel & Training,11320
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9150,Memberships,2100
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Services and Charges,9480,Computer Services-from IT,417
FY17,Revenue,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Federal Grants,5285,Dept of Housing & Urban Develop,1015562
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7115,Retiree Health Care-OPEB,6840
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Financing,9951,Operating Trans Out-Subsidies,1368688
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,8500,Telephone,300
FY17,Revenue,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Revenues,6883,Grantee Program Income,250000
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7105,Employers FICA,4343
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7115,Retiree Health Care-OPEB,54894
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Supplies,7910,Subscriptions and Publications,100
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Services and Charges,8010,Contractual Services,3091
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,8010,Contractual Services,1451595
FY17,Revenue,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Financing Sources,6991,Operating Transfers-Subsidy,500000
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7020,Full Time Employees,455571
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9480,Computer Services-from IT,37222
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7110,Hospitalization Insurance,74128
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,8510,Postage,3000
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Other Services and Charges,9410,Equipment Rentals or Lease,1000
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,5950
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2733,Community Development Program,Personal Services,7135,Unemployment Compensation,632
FY17,Expense,Community Services,Community Development Services,7000,7000 - Grants Admin,2734,Home Investment Partnership Pr,Personal Services,7135,Unemployment Compensation,79
FY17,Expense,Community Services,Parks and Recreation,7000,7000 - Grants-Projects Funded,2730,Other Grants,Other Services and Charges,8010,Contractual Services,80100
FY17,Revenue,Community Services,Parks and Recreation,7000,7000 - Grants-Projects Funded,2730,Other Grants,State Grants,5662,MI Dept of Natural Resources,45000
FY17,Revenue,Community Services,Parks and Recreation,7000,7000 - Grants-Projects Funded,2730,Other Grants,Other Financing Sources,6993,Operating Transfers-Capital Projects,35100
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7120,Retirement Fund Contribution,140963
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7115,Retiree Health Care-OPEB,110552
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7135,Unemployment Compensation,832
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7020,Full Time Employees,599846
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7110,Hospitalization Insurance,122932
FY17,Expense,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Personal Services,7105,Employers FICA,8698
FY17,Revenue,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Other Financing Sources,6991,Operating Transfers-Subsidy,583822
FY17,Revenue,Police,Police,7000,7000 - Invest-Det-Grants,2731,Police Grants,Federal Grants,5281,Dept of Justice,400000
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Supplies,7520,Supplies,5054
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,9450,311 Call Center Services,276
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,9480,Computer Services-from IT,14578
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,9150,Memberships,450
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,8010,Contractual Services,391631
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,9110,Other Travel & Training,3150
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7020,Full Time Employees,233224
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7105,Employers FICA,17842
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7120,Retirement Fund Contribution,54796
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7115,Retiree Health Care-OPEB,28102
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7110,Hospitalization Insurance,49173
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Personal Services,7135,Unemployment Compensation,323
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,8450,Claims,5441
FY17,Expense,Community Services,Community Development Services,7100,7100 - Grants-Housing Rehab,2733,Community Development Program,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,19370
FY17,Expense,Community Services,Community Development Services,7200,7200 - Grants Management,2734,Home Investment Partnership Pr,Other Services and Charges,8010,Contractual Services,398444
FY17,Expense,Community Services,Community Development Services,7200,7200 - Grants Management,2733,Community Development Program,Other Services and Charges,8010,Contractual Services,292495
FY17,Expense,Community Services,Community Development Services,7200,7200 - Grants Management,2734,Home Investment Partnership Pr,Other Services and Charges,8040,Home Repair,520000
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,1268
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8800,Community Promotion,50000
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8505,Employee Phone Reimbursement,2600
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,1500
FY17,Revenue,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Revenues,6761,Reimbursements,480
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,500
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Supplies,7520,Supplies,6000
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8450,Claims,11320
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Capital Outlays,9805,Computer Equipment,11207
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9340,Maintenance Service,300
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8510,Postage,900
FY17,Revenue,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Financing Sources,6991,Operating Transfers-Subsidy,100000
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,25344
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,3700
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,9480,Computer Services-from IT,54281
FY17,Expense,Executive Office,Executive Office,8000,8000 - Dept Unassigned,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,65000
